"V1","V2"
"NR1I2","TFAP2C"
"MST1R","YWHAE"
"MST1R","GAB1"
"RPS20","VRK3"
"RPS20","SMG6"
"RPS20","SSR3"
"RPS6KB1","IL2"
"RPS6KB1","VEGFA"
"RPS6KB1","INS"
"RPS6KB1","VHL"
"RPS6KB1","NR1I2"
"RPSA","WDR76"
"RPSA","SMG6"
"RPSA","DCTN6"
"RPSA","SSR3"
"RPSA","VHL"
"RPSA","RPS20"
"MARK4","SFI1"
"MARK4","TTBK2"
"MARK4","TUBGCP5"
"MARK4","SSNA1"
"MARK4","KIF24"
"MARK4","STRADA"
"MARK4","SDCCAG8"
"MARK4","TUBGCP4"
"MARK4","C2CD3"
"MARK4","YWHAE"
"MARK4","PRKAR2B"
"MARK4","PCNT"
"FOXO4","SGK2"
"FOXO4","YWHAE"
"LINGO1","RTN4R"
"LINGO1","OMG"
"LINGO1","MAG"
"FGFR3","VEGFA"
"FGFR3","INS"
"FGFR3","TWIST1"
"FGFR3","GAB1"
"FGFR3","VHL"
"TNK1","YWHAE"
"PRKAB1","PRKAG3"
"PRKAB1","PRKAG2"
"PRKAB1","STRADA"
"PRKAB1","PIK3R4"
"PRKAB1","MST1R"
"PIWIL2","TDRD12"
"PIWIL2","MOV10L1"
"PIWIL2","PIWIL4"
"PIWIL2","TDRD1"
"PIWIL2","TDRKH"
"PIWIL2","MAEL"
"PIWIL2","TDRD9"
"PIWIL2","ASZ1"
"PIWIL2","PIWIL1"
"FOXO6","FOXO4"
"PLXNA1","SEMA3A"
"PLXNA1","PLXNA4"
"PLXNA1","PAK3"
"PLXNA1","PLXNA2"
"UNC45A","NEK8"
"UNC45A","UBE3A"
"PLP1","OMG"
"PLP1","MAG"
"PLP1","CLN8"
"FANCC","RAD1"
"YWHAB","TTC28"
"YWHAB","TESK1"
"YWHAB","STK38"
"YWHAB","UNK"
"YWHAB","ZFP36L2"
"YWHAB","STK38L"
"YWHAB","SLC2A4"
"YWHAB","WDR76"
"YWHAB","NGF"
"YWHAB","TP53BP2"
"YWHAB","PIK3R4"
"YWHAB","YWHAE"
"YWHAB","SGTA"
"YWHAB","MST1R"
"YWHAB","RPS6KB1"
"YWHAB","FOXO4"
"YWHAB","TNK1"
"MARK3","NUAK2"
"MARK3","PRKCQ"
"MARK3","TADA2A"
"MARK3","YWHAE"
"MARK3","YWHAB"
"CAMK4","CALML4"
"CAMK4","CALML6"
"OTUD7B","WIPI1"
"OTUD7B","WIPI2"
"OTUD7B","XIAP"
"OTUD7B","WDR45"
"NFKBIE","NFKBIB"
"IFIT5","USP18"
"GATA3","IL2"
"GATA3","IL6"
"GATA3","IFNG"
"GATA3","TFAP2C"
"FBXL2","FBXO9"
"FBXL2","NLRP3"
"TMEM67","SFI1"
"TMEM67","TTBK2"
"TMEM67","SSNA1"
"TMEM67","KIF24"
"TMEM67","SDCCAG8"
