"Index","Prot"
"1033","ARHGAP11A"
"1034","PTPRS"
"1035","HSPA1L"
"1036","KRT8"
"1037","PRKAR2A"
"1038","CENPF"
"1039","UBE2D3"
"1040","KRT7"
"1041","POM121"
"1042","GUF1"
"1043","KMT2E"
"1044","CXCL13"
"1045","PSMD5"
"1046","SEMA4C"
"1047","NEK9"
"1048","SORT1"
"1049","RAE1"
"1050","MAP2K2"
"1051","TUBGCP2"
"1052","CDH5"
"1053","PTGER3"
"1054","CENPP"
"1055","TNRC6B"
"1056","CEP78"
"1057","G6PD"
"1058","CXCR3"
"1059","C19orf52"
"1060","HMGA2"
"1061","PSMB9"
"1062","TYMS"
"1063","DBF4"
"1064","BIRC5"
"1065","ALOX12"
"1066","COMMD10"
"1067","PTTG1"
"1068","MVD"
"1069","SKA3"
"1070","CETN2"
"1071","PDS5B"
"1072","RUNX1"
"1073","CDC26"
"1074","GINS1"
"1075","HIST1H2BN"
"1076","RHEB"
"1077","LRRFIP2"
"1078","EHHADH"
"1079","PRMT1"
"1080","USP21"
"1081","TK1"
"1082","CENPC"
"1083","CRADD"
"1084","RIPK1"
"1085","HAUS4"
"1086","CELF2"
"1087","GZMB"
"1088","C1QB"
"1089","NKIRAS2"
"1090","PSMF1"
"1091","SP1"
"1092","SLC25A1"
"1093","USP2"
"1094","SMARCB1"
"1095","STAT1"
"1096","PPARA"
"1097","CPEB4"
"1098","NCOA6"
"1099","MAP2K6"
"1100","NKX2-1"
"1101","TGM2"
"1102","KPRP"
"1103","MARCKS"
"1104","TRAF3"
"1105","CUX1"
"1106","KRT19"
"1107","TAF11"
"1108","MAP2K4"
"1109","SMAD3"
"1110","FAS"
"1111","RRM2B"
"1112","TAF9"
"1113","NUP35"
"1114","NCLN"
"1115","RCC2"
"1116","MAPKAPK2"
"1117","CENPE"
"1118","ORC2"
"1119","PPP2R3C"
"1120","TUBGCP6"
"1121","HSPA13"
"1122","KLF4"
"1123","HSPB2"
"1124","RPS3"
"1125","IRAK2"
"1126","HIST1H2BL"
"1127","LNPEP"
"1128","IL36G"
"1129","TUBB4B"
"1130","HMGB2"
"1131","RAB18"
"1132","ACP2"
"1133","S100A10"
"1134","ITGB3BP"
"1135","ANAPC11"
"1136","SREBF1"
"1137","IL1RN"
"1138","BOLA2"
"1139","POTEE"
"1140","CCNH"
"1141","IRF1"
"1142","CKAP2"
"1143","MACROD1"
"1144","SEPT2"
"1145","HJURP"
"1146","NCAPG2"
"1147","UBE2C"
"1148","E2F5"
"1149","MKI67"
"1150","CEP83"
"1151","CSNK1G1"
"1152","GPS1"
"1153","BOLA2B"
"1154","RELB"
"1155","CKS1B"
"1156","RAD54L"
"1157","CCR5"
"1158","HIST1H1D"
"1159","ERCC6L"
"1160","RFC5"
"1161","MYL6B"
"1162","ESCO2"
"1163","ARHGAP11B"
"1164","NUP85"
"1165","MELK"
"1166","CCND3"
"1167","PSMD7"
"1168","DPF1"
"1169","STMN1"
"1170","DSCC1"
"1171","CEP192"
"1172","EPHB2"
"1173","CCNE2"
"1174","ESPL1"
"1175","IRF5"
"1176","NAMPT"
"1177","ALOX15"
"1178","MMP2"
"1179","PRKCE"
"1180","UBE2L3"
"1181","KIF20B"
"1182","PTGES2"
"1183","RACGAP1"
"1184","PEX1"
"1185","KIF26B"
"1186","CC2D2A"
"1187","VDAC2"
"1188","HIST1H2BK"
"1189","SRC"
"1190","COL2A1"
"1191","PRKCB"
"1192","XPO1"
"1193","SMARCE1"
"1194","MYO5A"
"1195","TAX1BP1"
"1196","MNAT1"
"1197","PLA2G10"
"1198","HIST1H2BH"
"1199","HMMR"
"1200","NUP62"
"1201","PECAM1"
"1202","SMPD3"
"1203","IKZF5"
"1204","MEN1"
"1205","TNFSF13B"
"1206","PDPK1"
