source,target
ARF1,SH3GL2
ARF1,DNM2
ARF1,SNX9
ARF1,STAT4
ARF1,DYNLL1
ARF1,PICALM
ARF1,GIT1
ARF1,KIF20A
ARF1,HLA-DRA
ARF1,CD59
ARF1,ARHGAP21
ARF1,DYNC1I2
ARF1,INS
ARF1,KIF16B
ARF1,KIF2A
ARF1,PICK1
ARF1,KIF26B
ARF1,TGOLN2
ARF1,CHN1
ARF1,KIF4B
ARF1,KIFC1
ARF1,CAPZB
ARF1,RACGAP1
ARF1,HLA-DPB1
ARF1,DCTN2
ARF1,ARRB1
ARF1,DCTN4
ARF1,KLC1
ARF1,CDKN2A
ARF1,KIF13B
ARF1,PIK3R1
ARF1,SPTBN2
ARF1,KIF1A
ARF1,IQSEC1
ARF1,USO1
ARF1,DYNLL2
ARF1,SPTB
ARF1,VEGFA
ARF1,SEC22B
ARF1,COPZ1
GGA3,UBC
GGA3,SORT1
GGA3,IGF2R
GGA3,MET
GGA3,TSG101
GGA3,MON2
GGA3,MYO6
GGA3,RNF11
GGA3,ITGB1
GGA3,TMEM17
GGA3,KRAS
GGA3,NTRK1
GGA3,MOV10
GGA3,HAUS4
GGA3,LAPTM5
GGA3,M6PR
GGA3,NXF1
GGA3,TGOLN2
GGA3,SNX17
GGA3,PACS1
GGA3,NEDD4
GGA3,ITCH
GGA3,HGF
GGA3,RAB5A
GGA3,UBB
GGA3,RAB5B
GGA3,RAB4A
GGA3,RABGEF1
GGA3,UBA52
GGA3,RAB5C
ARFIP2,SARS
ARFIP2,CDKN2A
ARFIP2,ING5
ARFIP2,STAT3
ARFIP2,ITGB3BP
ARFIP2,HGS
ARFIP2,BICD1
ARFIP2,ARFIP2
ARFIP2,ITSN1
ARFIP2,CEP63
ARFIP2,CSK
ARFIP2,DTNBP1
ARFIP2,ATXN3
ARFIP2,PFKM
ARFIP2,TRIM54
ARFIP2,DUSP22
ARFIP2,TMEM17
ARFIP2,EWSR1
ARFIP2,MOV10
ARFIP2,BICD2
ARFIP2,HAUS1
ARFIP2,SNX1
ARFIP2,RAC1
ARFIP2,CDH1
ARFIP2,ARL1
ARFIP2,SOCS2
ARFIP2,SNX5
ARFIP2,PLD2
ARFIP2,RAC3
ARFIP2,ARL10
ARFIP2,CDC42
ARFIP1,YAP1
ARFIP1,SARS
ARFIP1,IDE
ARFIP1,HSPA8
ARFIP1,PFKP
ARFIP1,PFKM
ARFIP1,DPYSL2
ARFIP1,PPP3CA
ARFIP1,G6PD
ARFIP1,TSNAX
ARFIP1,MVB12A
ARFIP1,GART
ARFIP1,DNM1L
ARFIP1,STAT3
ARFIP1,TBC1D15
ARFIP1,SHMT1
ARFIP1,FLNB
ARFIP1,TSTA3
ARFIP1,SEC24D
ARFIP1,PSMG3
ARFIP1,HSPBP1
ARFIP1,HIST1H4A
ARFIP1,ECH1
ARFIP1,QDPR
ARFIP1,SHMT2
ARFIP1,ATP6V1C1
ARFIP1,PICK1
ARFIP1,PRMT3
ARFIP1,CDH1
ARFIP1,ARFIP2
ARFIP1,LUC7L2
ARFIP1,STIP1
ARFIP1,SLC2A4
ARFIP1,PDCD6
ARFIP1,DYNLT1
ARFIP1,TMEM216
ARFIP1,CDC5L
ARFIP1,SEC24A
ARFIP1,TGOLN2
ARFIP1,RECQL4
ARFIP1,PAFAH1B2
ARFIP1,USP14
ARFIP1,TMEM17
ARFIP1,ARL1
ARFIP1,RAC3
ARFIP1,ARL10
ARFIP1,OCIAD2
ALDOA,GAPDH
ALDOA,GLO1
ALDOA,ATP6V1E1
ALDOA,TERF1
ALDOA,MLH1
ALDOA,SUZ12
ALDOA,PKM
ALDOA,BCAT2
ALDOA,CUL3
ALDOA,CKMT1A
ALDOA,DNM1L
ALDOA,METTL14
ALDOA,CYTH2
ALDOA,CFTR
ALDOA,ITGA4
ALDOA,FUS
ALDOA,CDC34
ALDOA,CFL1
ALDOA,UBE2M
ALDOA,USP15
ALDOA,CARM1
ALDOA,OSBPL10
ALDOA,TGFBR2
ALDOA,NCAPH
ALDOA,HEXIM1
ALDOA,WDR77
ALDOA,CACNA1A
ALDOA,CUL4B
ALDOA,TNPO3
ALDOA,PGK1
ALDOA,SOD2
ALDOA,CUL2
ALDOA,HSPD1
ALDOA,SOD1
ALDOA,MDH2
ALDOA,TAGLN2
ALDOA,SUMO2
ALDOA,TRAP1
ALDOA,ATXN3
ALDOA,MAP2K7
ALDOA,PCNA
ALDOA,MYC
ALDOA,ARHGDIA
ALDOA,HUWE1
ALDOA,SOAT1
ALDOA,SUMO4
ALDOA,NTRK1
ALDOA,BRCA1
ALDOA,BRAF
ALDOA,HSPB2
ALDOA,KRAS
ALDOA,ESR2
ALDOA,RMND5A
ALDOA,PSMD4
ALDOA,FN1
ALDOA,PIH1D1
ALDOA,CKB
ALDOA,COX4I1
ALDOA,HNRNPA1
ALDOA,APEX1
ALDOA,IFNA4
ALDOA,HSP90AB1
ALDOA,CRYZ
ALDOA,VCAM1
ALDOA,TRIM25
ALDOA,LTA4H
ALDOA,PIAS4
ALDOA,FANCA
ALDOA,ANXA1
ALDOA,H2AFX
ALDOA,EGFR
ALDOA,PLD2
ALDOA,PPIF
ALDOA,ALDOC
ALDOA,KIAA1429
ALDOA,CDC73
ALDOA,PSMA3
ALDOA,JUP
ALDOA,LGALS1
ALDOA,MCM2
ALDOA,RNF4
ALDOA,IQCB1
ALDOA,RECQL4
ALDOA,HSPE1
ALDOA,CDK2
ALDOA,HDAC5
ALDOA,EFTUD2
ALDOA,LDHA
ALDOA,CDH1
ALDOA,HSD17B10
ALDOA,UMPS
ALDOA,SRPK2
ALDOA,ENO1
ALDOA,ATF2
ALDOA,DUT
ALDOA,ISG15
ALDOA,LMAN1
ALDOA,HADH
ALDOA,CDK2AP1
ALDOA,PRPF8
ALDOA,FH
ALDOA,TKT
ALDOA,HSP90AA1
ALDOA,ALDOA
ALDOA,TALDO1
ALDOA,TIMP1
ALDOA,TGFB1
ALDOA,HGF
ALDOA,SERPINE1
ALDOA,TPI1
ALDOA,CTSD
ALDOA,TGFB3
ALDOA,THBS1
ALDOA,LYZ
ALDOA,VWF
ALDOA,AMBP
ALDOA,EGF
ALDOA,PFKL
ALDOA,FTH1
ALDOA,OLA1
ALDOA,APP
ALDOA,HK2
ALDOA,PTX3
ALDOA,CAMP
ALDOA,FIGF
ALDOA,IGF1
ALDOA,FGB
ALDOA,FGA
ALDOA,PDHB
ALDOA,VEGFB
ALDOA,CLU
ALDOA,PDGFB
ALDOA,HBB
ALDOA,FGG
ALDOA,PKLR
ALDOA,PFKM
ALDOA,HKDC1
ALDOA,TOR4A
ALDOA,ILF2
ALDOA,TGFB2
ALDOA,NHLRC2
ALDOA,MMP9
ALDOA,SPTAN1
ALDOA,MAGED2
ALDOA,CDA
ALDOA,PDHA1
ALDOA,PFKP
ALDOA,ASAH1
ALDOA,FLG2
ALDOA,G6PD
ALDOA,BCKDK
ALDOA,VEGFC
ALDOA,LDHB
ALDOA,ESR1
ALDOA,CYFIP1
ALDOA,ENO2
ALDOA,PTPN6
ALDOA,CXCL1
ALDOA,TEX264
ALDOA,HK1
ALDOA,GPI
ALDOA,VTI1B
ALDOA,IGF2
ALDOA,IDH1
ALDOA,B2M
ALDOA,VEGFA
ALDOA,ARMC8
ALDOA,FAM49B
APP,ING2
APP,HIST1H2BM
APP,ICK
APP,ARGLU1
APP,MRPL24
APP,TCL1B
APP,EEF1B2
APP,ITGA2
APP,SMG5
APP,WDR5
APP,NUDT9
APP,RAB8B
APP,NTRK3
APP,GTF2E2
APP,LSM6
APP,CRYAB
APP,MED9
APP,NNMT
APP,PAK6
APP,PPP1R32
APP,ATP6V1E1
APP,RBM39
APP,MAST2
APP,FLRT3
APP,KAT5
APP,INS
APP,IFIT3
APP,CSTF2
APP,HSPA4
APP,SCYL1
APP,S1PR1
APP,OXSM
APP,DCTPP1
APP,CDKN1A
APP,PKM
APP,ZDHHC23
APP,SPC24
APP,PTK6
APP,KIF2C
APP,UBE3C
APP,OCEL1
APP,CAT
APP,TPD52L2
APP,ATXN3
APP,GRAMD4
APP,MYOT
APP,HSP90AA1
APP,RPS26
APP,LRRC59
APP,ETHE1
APP,GGA1
APP,SRSF3
APP,KPNA2
APP,ARPC1B
APP,C17orf85
APP,CPEB1
APP,GTPBP8
APP,ATP5A1
APP,MBNL1
APP,STUB1
APP,MTG1
APP,RAB35
APP,CLDN3
APP,GRIN1
APP,CUL3
APP,BEGAIN
APP,NEK11
APP,CTNNA1
APP,EXOC6
APP,RPL30
APP,FCGR3A
APP,LARP4
APP,KLC1
APP,MYC
APP,MAP2K4
APP,ITGB3BP
APP,VCP
APP,TSLP
APP,PSAT1
APP,PAK4
APP,LRP1
APP,TBPL1
APP,CA9
APP,PSMD11
APP,DDX43
APP,HIST2H2AC
APP,RPL37
APP,DECR1
APP,RBM8A
APP,ZFP36
APP,CHEK2
APP,LIMK1
APP,RAD51AP1
APP,CCNL1
APP,VPS35
APP,SERAC1
APP,SF3B2
APP,THAP1
APP,TCEA1
APP,FGF13
APP,FGF12
APP,DIXDC1
APP,CCNG1
APP,KCNN3
APP,WHSC1
APP,IPO4
APP,TFPI
APP,HMGB2
APP,IARS2
APP,GAK
APP,CUL7
APP,MAPK8IP2
APP,NUMB
APP,PAK1
APP,EIF4E2
APP,CEP57
APP,RGS3
APP,RFWD3
APP,QARS
APP,USP2
APP,ESRRG
APP,ZC3HAV1L
APP,CASP3
APP,DIMT1
APP,ECI2
APP,FCHO1
APP,IL7
APP,SLC2A2
APP,HP1BP3
APP,CDK5
APP,OPA1
APP,FCF1
APP,PPP1CC
APP,CNOT7
APP,MOB3A
APP,TRAPPC3
APP,TPT1
APP,STOML1
APP,CAPRIN1
APP,CLU
APP,TGFBR2
APP,IL26
APP,ARPP19
APP,RPS14
APP,KCNAB1
APP,ATP6V1G1
APP,GRB10
APP,HK1
APP,CDKL3
APP,CSNK1D
APP,NOLC1
APP,NUP62CL
APP,EIF2B2
APP,CDK17
APP,NFKBIB
APP,HMGA1
APP,TMEM97
APP,CYB5B
APP,FGFR2
APP,ATP5C1
APP,RNF115
APP,NR1D1
APP,SRSF6
APP,PLK2
APP,STAT5B
APP,LAMC1
APP,ORC6
APP,RNF2
APP,COPS5
APP,SAE1
APP,PAK2
APP,STARD10
APP,SF3B6
APP,CENPI
APP,CTBP2
APP,LGALS3
APP,EPHB4
APP,LAD1
APP,KPTN
APP,LRPPRC
APP,RIOK2
APP,VPS29
APP,PARK2
APP,TOP1
APP,CELF1
APP,HOXC4
APP,FGB
APP,UTP14A
APP,PDS5B
APP,SYVN1
APP,BACE1
APP,WASL
APP,DCLK1
APP,PDAP1
APP,ETV5
APP,OTUB2
APP,PHLDA1
APP,PSMD4
APP,FN3KRP
APP,CSNK1E
APP,TMX3
APP,FAM160B2
APP,PHF8
APP,NDUFS1
APP,LCP2
APP,MITF
APP,MTMR14
APP,SYNCRIP
APP,FIP1L1
APP,HDDC3
APP,HSPA8
