source,target
EP300,NFATC2
EP300,MED23
EP300,HSPA8
EP300,IRF7
EP300,RAD50
EP300,NFYA
EP300,TCL1A
EP300,RUNX2
EP300,GAPDH
EP300,HDAC1
EP300,HIST1H4A
EP300,MAF
EP300,TP73
EP300,HSF1
EP300,MEF2A
EP300,STAT2
EP300,PAK2
EP300,FBXW2
EP300,EZH2
EP300,JUNB
EP300,SNAI1
EP300,MYC
EP300,SRC
EP300,JUN
EP300,HIRA
EP300,TERF2
EP300,TGFBR1
EP300,MAPK14
EP300,MYOD1
EP300,ESR1
EP300,MEF2C
EP300,H3F3A
EP300,NCOR1
EP300,ZEB1
EP300,RAB2A
EP300,NCOR2
EP300,KLF5
EP300,PRKAA1
EP300,MEF2D
EP300,MAPK1
EP300,STAT6
EP300,TRIP4
EP300,JUP
EP300,NCOA1
EP300,TBX21
EP300,ZBTB8A
EP300,KLF15
EP300,TSG101
EP300,WDR82
EP300,FOXP3
EP300,PIN1
EP300,PPARG
EP300,HDAC3
EP300,POLR2A
EP300,FBXL5
EP300,RPTOR
EP300,FOXO3
EP300,VDR
EP300,SATB1
EP300,TERF1
EP300,NOTCH1
EP300,TNK2
EP300,PPP2CA
EP300,EPAS1
EP300,SMC1A
EP300,NBN
EP300,NR3C1
EP300,ZBTB16
EP300,GRB2
EP300,RPS6KB1
EP300,SIRT1
EP300,HNRNPU
EP300,UBE2I
EP300,KIAA1429
EP300,PAXIP1
EP300,PPARA
EP300,XRCC5
EP300,XRCC6
EP300,NFKB1
EP300,REL
EP300,ESR2
EP300,IRF1
EP300,ETS2
EP300,HSPA5
EP300,PCNA
EP300,HDAC2
EP300,HIST1H2BB
EP300,NANOG
EP300,SIRT2
EP300,HIST1H2AB
EP300,FOXM1
EP300,FOXO1
EP300,KAT2B
EP300,PRKDC
EP300,NCOA3
EP300,FEN1
EP300,KPNA2
EP300,MAP3K5
EP300,KDM1A
EP300,FOSL1
EP300,NFKBIA
EP300,KRT18
EP300,SMAD5
EP300,MDC1
EP300,HIST3H3
EP300,MCM5
EP300,MAPK8
EP300,TFAP2A
EP300,EP300
EP300,FOSB
EP300,TCF7L2
EP300,SIAH2
EP300,SLC33A1
EP300,GATA2
EP300,VHL
EP300,TRIM25
EP300,ERG
EP300,WDR5
EP300,GNB2L1
EP300,ETS1
EP300,UBE2M
EP300,RELA
EP300,IRF3
EP300,RB1
EP300,SKP2
EP300,PARP1
EP300,YBX1
EP300,MRE11A
EP300,ETV1
EP300,HMGB1
EP300,XPA
EP300,HDAC7
EP300,UBE2D1
EP300,PIAS3
EP300,RORC
EP300,TBP
EP300,EWSR1
EP300,ORC2
EP300,MCM2
EP300,PPP2R5C
EP300,FOSL2
EP300,GTF2B
EP300,EPO
EP300,HAND2
EP300,FBXW8
EP300,YWHAZ
EP300,MCM3
EP300,MDM4
EP300,ERCC8
EP300,MSH6
EP300,HNRNPUL1
EP300,PIK3R1
EP300,KAT5
EP300,YY1
EP300,HERC1
EP300,HNRNPL
EP300,NCOA6
EP300,SNW1
EP300,UBQLN1
EP300,TP53
EP300,SPIB
EP300,SUMO2
EP300,MTA1
EP300,UBC
EP300,RECQL4
EP300,ERCC1
EP300,RFC2
EP300,RBX1
EP300,GZMB
EP300,POLE2
EP300,STAG2
EP300,POLR2C
EP300,MPG
EP300,POLR2I
EP300,TGFB1
EP300,RPA3
EP300,HDAC5
EP300,PRPF19
EP300,SKP1
EP300,HES1
EP300,NMI
EP300,FOXA1
EP300,RPA1
EP300,KRAS
EP300,MED4
EP300,GTF2H4
EP300,MNAT1
EP300,KMT2C
EP300,MED15
EP300,GTF2F1
EP300,NRIP1
EP300,H2AFB1
EP300,GATAD2B
EP300,HIF3A
EP300,POU2F1
EP300,POLR2J
EP300,ZNRD1
EP300,TNF
EP300,H2BFS
EP300,SLC2A4
EP300,H2AFZ
EP300,HIST1H2BJ
EP300,TNRC6B
EP300,IL1B
EP300,SIN3A
EP300,SUMO1
EP300,USP7
EP300,IFNB1
EP300,SMC3
EP300,HDAC11
EP300,STAG1
EP300,ERCC2
EP300,NR1H3
EP300,LIG3
EP300,SUZ12
EP300,GATA3
EP300,NOS3
EP300,MOV10
EP300,POLR2H
EP300,STAT5B
EP300,HIST1H2AJ
EP300,RBBP4
EP300,MTA2
EP300,LIG1
EP300,RFC5
EP300,FABP1
EP300,POLR2E
EP300,HSPA1A
EP300,ME1
EP300,MBD3
EP300,RFC4
EP300,POLR2B
EP300,RPA2
EP300,UBA52
EP300,HSPA2
EP300,XAB2
EP300,TCEA1
EP300,KMT2D
EP300,GTF2H5
EP300,HIST1H2BL
EP300,ERCC4
EP300,POLR1D
EP300,SRRM2
EP300,STAT4
EP300,HIST1H2AC
EP300,PTGES3
EP300,POLR2G
EP300,ERCC5
EP300,PPIE
EP300,HIST1H2BD
EP300,H2AFX
EP300,HIST1H2AD
EP300,HIST1H2BM
EP300,LDHA
EP300,HIST1H2BN
EP300,HOXB3
EP300,TFDP1
EP300,POLR2L
EP300,HSD17B4
EP300,H2AFJ
EP300,POLR2D
EP300,UBB
EP300,SF3B1
EP300,TNRC6C
EP300,MED20
EP300,TAF1
EP300,HIST1H2BH
EP300,GTF2H2
EP300,HSP90AA1
EP300,HSP90AB1
EP300,RPS27A
EP300,TNRC6A
EP300,KDM6A
EP300,PLK1
EP300,GATAD2A
EP300,HIST1H2BK
EP300,GTF2A1
EP300,GTF2H1
EP300,PRKACB
EP300,HSPA1L
EP300,POLD1
EP300,HIST1H2BA
EP300,MED1
EP300,POLR2F
EP300,SFN
EP300,POLR2K
EP300,GTF2H3
EP300,HIST1H2BO
EP300,LPL
EP300,HDAC9
EP300,GTF3A
EP300,SMARCA4
EP300,HDAC4
EP300,H2AFV
EP300,RFC1
EP300,VEGFA
EP300,HSPA1B
EP300,ERCC3
EP300,HIST2H3PS2
EP300,HDAC8
EP300,PML
EP300,MYSM1
EP300,FOXO4
EP300,RAD21
EP300,IFNA21
EP300,RFC3
EP300,RBBP7
EP300,GTF2E1
APOB,FAF2
