source,target
CAPN1,SKIV2L2
CAPN1,MCM2
CAPN1,EEF2
CAPN1,YWHAQ
CAPN1,HNRNPR
CAPN1,NTRK1
CAPN1,FN1
CAPN1,NFKBIA
CAPN1,SYNCRIP
CAPN1,HIF1A
CAPN1,HNRNPD
CAPN1,ECHS1
CAPN1,TNIP2
CAPN1,ITGA4
CAPN1,CDH1
CAPN1,PIK3CA
CAPN1,PTPN1
CAPN1,SRC
CAPN1,RHOA
CAPN1,PIK3R1
CTNNB1,NFKB1
CTNNB1,MET
CTNNB1,FUS
CTNNB1,PSEN1
CTNNB1,NPM1
CTNNB1,EZH2
CTNNB1,DDX1
CTNNB1,HNRNPA2B1
CTNNB1,OBSL1
CTNNB1,HSPA8
CTNNB1,SKP1
CTNNB1,POU5F1
CTNNB1,LMNA
CTNNB1,THRAP3
CTNNB1,MAPK8
CTNNB1,YWHAE
CTNNB1,YWHAQ
CTNNB1,HSP90AB1
CTNNB1,ERBB2
CTNNB1,RPL31
CTNNB1,DDX39B
CTNNB1,STUB1
CTNNB1,PKM
CTNNB1,RNPS1
CTNNB1,HNF1B
CTNNB1,RPL18A
CTNNB1,GSK3A
CTNNB1,HDAC1
CTNNB1,EEF2
CTNNB1,FAF1
CTNNB1,SNRPD1
CTNNB1,ESR1
CTNNB1,HSP90AA1
CTNNB1,RPL3
CTNNB1,SMURF1
CTNNB1,ITFG1
CTNNB1,PCBP1
CTNNB1,SNRPD2
CTNNB1,YAP1
CTNNB1,RXRA
CTNNB1,RPL18
CTNNB1,PSMA5
CTNNB1,HDAC2
CTNNB1,EEF1D
CTNNB1,RPL35A
CTNNB1,XRCC6
CTNNB1,PRPF6
CTNNB1,TMPO
CTNNB1,HUWE1
CTNNB1,UNK
CTNNB1,CUL3
CTNNB1,HSPA5
CTNNB1,MYC
CTNNB1,MCM5
CTNNB1,SRRM2
CTNNB1,IQGAP1
CTNNB1,SPECC1L
CTNNB1,SP1
CTNNB1,RPS15A
CTNNB1,HNRNPC
CTNNB1,HRAS
CTNNB1,XRCC5
CTNNB1,HIST1H1C
CTNNB1,RPLP0
CTNNB1,DIMT1
CTNNB1,RPS4X
CTNNB1,NPRL2
CTNNB1,RPS6
CTNNB1,ELAVL1
CTNNB1,RPS16
CTNNB1,SYNCRIP
CTNNB1,PTPN1
CTNNB1,PSMC5
CTNNB1,PSMD4
CTNNB1,HDLBP
CTNNB1,TNFAIP3
CTNNB1,UBE2N
